,BranchLenght,BranchPerimeter,DecayRange,PercBarkAttached,HostPlant,VegetationSubtype,VegetationType,LocName,Exposure,Elevation,CanopyHeight,PercCanopyCover,PerLeafLitter,CollectionMonth,CollectionYear
Sample304,30,8,1,5,Rubia_fruticosa,Cardonal,TabaibalCardonal,AndenCruz,N,337,3.2,75,4,Dec,Y2013
Sample307,30,9.5,2.5,0,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample313,63,22.5,1.2,0,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample314,102,21.5,2.2,20,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample324,150,15,2,60,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample327,60,20,2.3,90,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample328,62,16.5,2.5,20,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample329,60,18,3,70,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample330,77,25,1.8,60,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample333,102,10.5,1,35,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample334,50,13.5,2.3,30,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample335,83,14,1.5,0,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample338,88,15.5,2.3,0,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample341,75,8,1,0,Lavandula_canariensis,TabaibalDulce,TabaibalCardonal,LaCardonera,N,58,3.5,65,5,Oct,Y2013
Sample362,89,3.5,1,30,Cystus_monspeliensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample363,140,8,1,50,Cystus_monspeliensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample365,103,6,1,0,Cystus_monspeliensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample368,77,8,1.8,60,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample369,68,5.5,1.3,8,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample37,57,5,1,100,Campylanthus_salsoloides,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample370,72,7,1.8,50,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample371,80,11.5,1.5,40,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample373,170,13.5,2.8,40,Euphorbia_atropurpurea,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample375,80,11.5,3,70,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample376,40,11.5,2.7,60,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample378,62,11.5,3,60,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample379,60,19,2.7,70,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample38,60,9,1.6,60,Campylanthus_salsoloides,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample380,44,9,3,70,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample381,147,17,2.3,50,Euphorbia_canariensis,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample387,50,7,1,20,Periploca_laevigata,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample388,53,3.5,2,0,Periploca_laevigata,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample389,36,3,1,0,Periploca_laevigata,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample39,44,9,2,50,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample391,53,3.5,1.7,0,Periploca_laevigata,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample394,140,60,1,70,Plocama_pendula,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample397,52,80,1.2,80,Plocama_pendula,TabaibalMejorero,TabaibalCardonal,BcoErques,S,346,2.5,85,12,Dec,Y2013
Sample411,103,12,1,3,Atalanthus_pinnatus,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample417,60,8,2.2,40,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample418,79,13.5,1.2,20,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample420,58,7.5,2.2,40,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample423,45,18,1.8,0,Euphorbia_balsamifera,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample425,77,15,2.3,3,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample426,128,14,2.3,50,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample427,104,20.5,2.3,60,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample428,109,16.5,1.8,40,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample429,61,22,2,0,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample430,84,18.5,2,60,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample431,108,15,2.3,35,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample432,82,20,2,30,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample434,96,14.5,2.2,70,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample435,70,17.5,1,15,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample436,88,11,2,30,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample437,85,16,1.7,15,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample443,43,6,2.3,0,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample444,95,13,3,0,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample448,30,4,1.5,10,Launaea_arborescens,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample453,48,4,1,60,Lavandula_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample454,36,3.5,1,10,Lavandula_canariensis,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample458,79,4.5,1,80,Periploca_laevigata,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample459,41,3,1,0,Periploca_laevigata,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample47,55,16.5,3,30,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample474,57,4.5,1,70,Plocama_pendula,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample475,88,11.5,1.5,50,Plocama_pendula,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample476,31,4,1.5,10,Plocama_pendula,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample478,96,21,1.3,75,Plocama_pendula,TabaibalDulce,TabaibalCardonal,CuevaCorral,S,103,3,50,10,Jan,Y2014
Sample48,102,9.5,3,20,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample482,163,16.5,1.5,80,Erica_arborea,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample483,120,10,2,100,Erica_arborea,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample485,105,9,1.7,50,Erica_arborea,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample488,146,12,1.7,70,Ilex_canariensis,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample490,126,12,2.5,50,Laurus_novocanariensis,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample491,148,15.5,2,95,Laurus_novocanariensis,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample492,147,18,1.5,70,Morella_faya,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample493,120,14.5,1,60,Morella_faya,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample494,180,49.5,2.5,5,Morella_faya,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample495,52,23.5,1.5,90,Morella_faya,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample496,147,77,3,0,Ocotea_foetens,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample498,65,8,1.8,90,Ocotea_foetens,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample502,180,40,2,0,Prunus_lusinatica,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample503,43,12.5,3,5,Prunus_lusinatica,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Feb,Y2012
Sample504,80,16,3,35,Prunus_lusinatica,LaurisilvaHigrofila,Laurisilva,BcoMina,N,781,15,90,90,Oct,Y2012
Sample511,72,6.5,1.3,20,Erica_platycodon,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample512,195,17,1.5,80,Erica_platycodon,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample515,109,11,2.2,80,Erica_platycodon,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample516,124,12.5,1.3,5,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample520,117,8,1.5,0,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample521,145,23,3,60,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample522,158,21,1.2,60,Laurus_novocanariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample525,105,19.5,2.5,5,Laurus_novocanariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample526,89,14,3,1,Laurus_novocanariensis,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample530,100,27.5,2.3,10,Morella_faya,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample531,166,27,2.3,20,Morella_faya,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Mar,Y2012
Sample532,140,25.5,2.3,0,Morella_faya,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample533,100,29.5,2.3,40,Morella_faya,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample534,140,37.5,1.5,50,Morella_faya,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample535,89,23,3,10,Prunus_lusinatica,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample538,127,30,2.7,0,Prunus_lusinatica,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample539,105,26,1.5,30,Prunus_lusinatica,LaurisilvaCresteria,Laurisilva,DescansaderosTierra,N,861,15,75,85,Apr,Y2013
Sample540,80,5,1.3,0,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample541,159,10,1,8,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample542,140,10.5,1,60,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample543,106,10,1,100,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample544,54,8.5,1,50,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample545,160,11,1,100,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample546,162,10,1.2,0,Convolvulus_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample547,193,13.5,2,80,Erica_arborea,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample548,102,29,1.8,40,Erica_arborea,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample549,156,15,1.5,80,Erica_arborea,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample550,134,25.5,1.3,95,Erica_arborea,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample552,112,21,2,5,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample553,94,32.5,2.3,70,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample554,149,22,1.5,3,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample555,155,20,1.2,15,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample556,170,24.5,2,80,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample557,128,20,1.8,50,Ilex_canariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample558,140,44.5,1.8,20,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample559,80,26,1.8,25,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample560,80,19.5,1.8,5,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample561,163,19,1.3,70,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample562,71,14,1.2,40,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample563,137,26,1.5,10,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample564,96,16,1.5,5,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample565,88,33,1.2,30,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample566,121,24.5,1,70,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample567,81,31.5,1.2,30,Laurus_novocanariensis,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample568,70,21.5,1.7,100,Morella_faya,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample569,59,18,1,9,Morella_faya,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample573,73,19.5,1.5,20,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample574,67,15.5,1.7,90,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample575,177,31,2.5,70,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample576,67,21,1.3,40,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample577,86,35.5,3,70,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample578,50,32,1.2,80,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample579,80,30,2.3,75,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample58,116,4,1,70,Lycium_intricatum,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample580,71,20,1,60,Persea_indica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample583,185,23,1.7,40,Picconia_excelsa,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,Mar,Y2012
Sample586,170,31,1,95,Prunus_lusinatica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample588,156,26,1.7,70,Prunus_lusinatica,LaurisilvaHumeda,Laurisilva,MiradorZapata,N,818,40,85,80,May,Y2013
Sample592,181,6,2,0,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample593,159,11,1.7,50,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample594,151,12,1.3,60,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample595,148,9,2,80,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample596,50,9.5,1,90,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample598,75,11,1,90,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample599,214,7.5,1.2,80,Erica_arborea,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample60,98,4.5,1,0,Lycium_intricatum,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample603,147,10.5,2.2,10,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample604,137,11,1.5,40,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample605,150,9,1.5,30,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample606,175,23,1.7,70,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample607,133,19,2,80,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample608,96,20.5,2,0,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample609,94,20.5,2.7,60,Ilex_canariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample613,74,16.5,2.3,65,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample614,147,19,2,2,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample618,49,12.5,2.7,80,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample619,90,20,2.8,5,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample620,87,24,1.7,30,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample621,39,19.5,1.8,0,Morella_faya,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample625,53,9.5,1,70,Morella_faya,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample628,145,30.5,1.3,0,Morella_faya,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample63,64,6,1.5,0,Plocama_pendula,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample630,78,27,1.5,10,Morella_faya,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample631,55,23,1.3,90,Morella_faya,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample636,35,19,2.2,15,Picconia_excelsa,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample637,73,14,1,60,Picconia_excelsa,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample640,70,28.5,2,0,Picconia_excelsa,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample641,26,2,1.7,80,Rubus_bollei,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample642,35,2.5,2.7,70,Rubus_bollei,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,May,Y2012
Sample645,181,10,2,30,Rubus_bollei,LaurisilvaSeca,Laurisilva,HoyaPalomo,N,639,10,75,85,Jun,Y2012
Sample65,98,18,1,50,Plocama_pendula,TabaibalDulce,TabaibalCardonal,Monta–aAmarilla,S,35,3.5,35,5,Dec,Y2012
Sample650,139,3.5,1,95,Arbutus_canariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample651,177,10,1,0,Arbutus_canariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample653,170,7,10,0,Erica_arborea,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample654,100,17.5,1.2,70,Erica_arborea,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample658,58,5,2.3,1,Ilex_canariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample661,108,21,2.2,80,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample662,88,33.5,2.5,50,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample665,67,19.5,1.3,0,Laurus_novocanariensis,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample669,97,12.5,2,5,Picconia_excelsa,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample671,47,5,1.5,95,Visnea_mocanera,LaurisilvaSeca,Laurisilva,LomoAlto,N,749,14,90,85,May,Y2012
Sample675,124,13,1,50,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample677,198,5,1,90,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample678,161,10.5,1,90,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample681,97,16,1.8,50,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,Oct,Y2013
Sample682,186,19.5,1.5,100,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,Oct,Y2013
Sample683,149,13.5,1.7,100,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,Oct,Y2013
Sample684,76,21.5,2.7,90,Erica_platycodon,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,Oct,Y2013
Sample685,130,6,1.3,30,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample686,127,8,1,85,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample690,132,11.5,1,5,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,May,Y2012
Sample691,134,21.5,1.3,5,Ilex_canariensis,LaurisilvaCresteria,Laurisilva,ElVi–atigo,N,799,11,80,88,Oct,Y2013
